BP	bp_count	mf_count	complex_count	distinct_protein_count	distinct_chemical_count	distinct_cc_count	distinct_relation_count
Adenylate_cyclase_activating_pathway	2	5	10	1	10	2	6
Association_of_TriC-CCT_with_target_proteins_during_biosynthesis	1	2	4	1	0	1	4
Scavenging_of_heme_from_plasma	1	12	16	6	3	4	6
Formation_of_the_beta-catenin:TCF_transactivating_complex	3	11	31	16	8	2	6
IRAK4_deficiency_(TLR2-4)	1	2	2	1	0	3	2
MyD88-independent_TLR4_cascade	2	5	13	5	0	3	6
CREB_phosphorylation_through_the_activation_of_CaMKII	1	5	9	2	5	4	6
Transmission_across_Electrical_Synapses	1	0	0	0	0	0	0
Nephrin_family_interactions	1	13	26	7	5	2	6
Deposition_of_new_CENPA-containing_nucleosomes_at_the_centromere	1	4	15	0	0	1	6
Cross-presentation_of_soluble_exogenous_antigens_(endosomes)	3	6	8	0	5	6	6
Defective_MGAT2_causes_MGAT2-CDG_(CDG-2a)	1	1	0	0	5	1	3
Degradation_of_cysteine_and_homocysteine	2	20	2	11	37	3	7
Synthesis_of_PIPs_at_the_ER_membrane	1	15	7	7	24	4	5
Signaling_by_FGFR2_fusions	1	2	1	1	5	2	6
Resolution_of_AP_sites_via_the_single-nucleotide_replacement_pathway	3	5	12	2	6	1	6
p130Cas_linkage_to_MAPK_signaling_for_integrins	1	4	10	2	5	3	5
Biosynthesis_of_DPAn-3-derived_maresins	2	4	0	2	13	2	6
Vpr-mediated_induction_of_apoptosis_by_mitochondrial_outer_membrane_permeabilization	4	1	4	3	0	4	6
Complex_I_biogenesis	1	13	25	27	3	2	6
Mitochondrial_transcription_termination	3	4	4	3	0	1	6
Signaling_by_Insulin_receptor	2	7	16	4	6	5	6
SUMOylation_of_DNA_damage_response_and_repair_proteins	1	27	70	18	0	3	7
Diseases_associated_with_glycosaminoglycan_metabolism	1	0	0	0	0	0	0
ERK1-ERK2_pathway	1	0	0	0	0	0	0
CLEC7A_(Dectin-1)_signaling	6	26	64	12	13	4	6
Toll_Like_Receptor_TLR1:TLR2_Cascade	1	3	6	2	0	3	5
GP1b-IX-V_activation_signalling	1	8	13	6	0	3	6
Neurotransmitter_receptors_and_postsynaptic_signal_transmission	1	2	2	0	6	3	4
Activation,_translocation_and_oligomerization_of_BAX	5	6	5	6	0	4	6
Keratan_sulfate_degradation	1	6	6	1	13	2	6
Synthesis_of_15-eicosatetraenoic_acid_derivatives	2	7	3	1	18	4	6
DNA_Repair	1	0	0	0	0	0	0
TICAM1-dependent_activation_of_IRF3-IRF7	1	12	34	4	5	5	6
Pre-NOTCH_Expression_and_Processing	1	0	0	0	0	0	0
Activation_of_TRKA_receptors	1	0	0	0	0	0	0
Hypusinylation	1	3	6	2	11	1	6
SLBP_independent_Processing_of_Histone_Pre-mRNAs	3	4	13	2	0	3	6
Beta_oxidation_of_palmitoyl-CoA_to_myristoyl-CoA	2	7	8	2	20	3	6
Molecules_associated_with_elastic_fibres	1	10	22	3	0	2	6
Peroxisomal_lipid_metabolism	1	8	2	6	23	2	6
The_role_of_GTSE1_in_G2-M_progression_after_G2_checkpoint	8	11	20	6	5	2	6
Interleukin-3,_Interleukin-5_and_GM-CSF_signaling	1	33	71	15	5	4	7
RNA_Polymerase_III_Transcription_Termination	5	5	8	0	6	1	6
Metabolism_of_RNA	1	0	0	0	0	0	0
Recycling_pathway_of_L1	1	14	32	5	8	4	7
Regulation_of_cortical_dendrite_branching	1	6	8	6	0	3	6
CDT1_association_with_the_CDC6:ORC:origin_complex	1	4	10	2	0	2	6
Regulation_of_PTEN_gene_transcription	2	28	50	8	5	3	8
S45_mutants_of_beta-catenin_aren't_phosphorylated	1	1	1	0	4	1	3
Negative_regulation_of_activity_of_TFAP2_(AP-2)_family_transcription_factors	1	8	20	7	0	2	7
TCF_dependent_signaling_in_response_to_WNT	3	13	37	11	5	4	6
Methylation_of_MeSeH_for_excretion	1	7	0	3	22	1	6
Activation_of_BMF_and_translocation_to_mitochondria	3	2	3	4	5	3	6
STAT6-mediated_induction_of_chemokines	2	6	6	3	5	4	6
Oncogene_Induced_Senescence	3	26	37	12	7	2	8
Pre-NOTCH_Processing_in_the_Endoplasmic_Reticulum	2	7	15	6	6	4	6
Regulation_of_TNFR1_signaling	3	18	38	12	5	3	7
Prefoldin_mediated_transfer_of_substrate_to_CCT-TriC	1	4	10	0	5	1	6
Beta-catenin_independent_WNT_signaling	1	0	0	0	0	0	0
GPVI-mediated_activation_cascade	5	48	89	13	17	5	8
MET_activates_RAP1_and_RAC1	1	7	17	4	7	5	5
Polymerase_switching	1	6	17	1	9	1	6
Synthesis_of_substrates_in_N-glycan_biosythesis	1	0	0	0	0	0	0
Threonine_catabolism	1	5	3	3	19	3	6
Gap_junction_trafficking_and_regulation	1	0	0	0	0	0	0
Beta-oxidation_of_pristanoyl-CoA	1	15	1	10	34	2	6
TGF-beta_receptor_signaling_activates_SMADs	2	18	43	12	5	8	6
Alternative_complement_activation	2	15	28	6	5	2	6
Platelet_homeostasis	1	3	3	1	10	4	5
Activation_of_kainate_receptors_upon_glutamate_binding	1	0	0	0	0	0	0
Uptake_and_actions_of_bacterial_toxins	1	0	0	0	0	0	0
Defective_Mismatch_Repair_Associated_With_PMS2	1	1	1	1	0	1	3
Toll_Like_Receptor_10_(TLR10)_Cascade	1	2	2	2	0	3	4
Histamine_receptors	1	6	10	2	4	4	4
PI5P,_PP2A_and_IER3_Regulate_PI3K-AKT_Signaling	8	37	71	9	17	5	6
Signalling_to_RAS	1	7	19	2	7	3	6
Antigen_activates_B_Cell_Receptor_(BCR)_leading_to_generation_of_second_messengers	6	50	89	23	20	9	8
Defective_PMM2_causes_PMM2-CDG_(CDG-1a)	1	1	0	0	2	1	3
TRAF6_mediated_IRF7_activation	5	12	28	5	5	5	7
Defective_ABCC9_causes_dilated_cardiomyopathy_10,_familial_atrial_fibrillation_12_and_hypertrichotic_osteochondrodysplasia	1	1	0	0	3	1	3
Regulation_of_RUNX2_expression_and_activity	1	48	108	28	5	3	8
MPS_II_-_Hunter_syndrome	1	2	0	0	7	1	3
Interconversion_of_2-oxoglutarate_and_2-hydroxyglutarate	1	4	0	3	11	2	5
Cleavage_of_the_damaged_purine	1	14	9	3	7	1	6
Stabilization_of_p53	3	81	67	30	9	2	7
Defective_GSS_causes_Glutathione_synthetase_deficiency_(GSS_deficiency)	1	1	0	0	7	1	3
RNA_Polymerase_II_Transcription_Termination	1	0	0	0	0	0	0
TFAP2A_acts_as_a_transcriptional_repressor_during_retinoic_acid_induced_cell_differentiation	1	8	12	5	0	2	7
Hyaluronan_uptake_and_degradation	3	8	10	3	9	4	6
Defective_UGT1A4_causes_hyperbilirubinemia	1	2	0	0	6	1	3
Digestion_and_absorption	1	0	0	0	0	0	0
TRAF3_deficiency_-_HSE	1	1	1	1	0	3	2
EPH-Ephrin_signaling	4	9	16	5	5	4	6
Defective_SLC36A2_causes_iminoglycinuria_(IG)_and_hyperglycinuria_(HG)	1	1	0	0	2	1	3
SUMO_E3_ligases_SUMOylate_target_proteins	1	0	0	0	0	0	0
eNOS_activation	4	24	23	12	27	5	6
Activation_of_APC-C_and_APC-C:Cdc20_mediated_degradation_of_mitotic_proteins	1	0	0	0	0	0	0
Cytochrome_c-mediated_apoptotic_response	1	0	0	0	0	0	0
FGFR1_ligand_binding_and_activation	1	0	0	0	0	0	0
Crosslinking_of_collagen_fibrils	1	13	22	1	8	1	6
Beta_oxidation_of_lauroyl-CoA_to_decanoyl-CoA-CoA	2	8	7	4	21	3	6
Chaperonin-mediated_protein_folding	1	0	0	0	0	0	0
Defective_Base_Excision_Repair_Associated_with_MUTYH	1	0	0	0	0	0	0
Regulation_of_commissural_axon_pathfinding_by_SLIT_and_ROBO	2	13	17	10	5	4	6
Pre-NOTCH_Transcription_and_Translation	15	32	59	13	9	4	8
Extension_of_Telomeres	1	0	0	0	0	0	0
Defective_SLC1A3_causes_episodic_ataxia_6_(EA6)	1	1	0	0	5	2	2
Toll_Like_Receptor_7-8_(TLR7-8)_Cascade	1	2	4	1	0	2	4
TNFR2_non-canonical_NF-kB_pathway	1	11	24	4	5	3	7
Defective_CYP11A1_causes_Adrenal_insufficiency,_congenital,_with_46,XY_sex_reversal_(AICSR)	1	1	1	0	8	2	2
p53-Dependent_G1-S_DNA_damage_checkpoint	1	0	0	0	0	0	0
Defective_CYP11B1_causes_Adrenal_hyperplasia_4_(AH4)	1	1	0	0	8	1	3
Uncoating_of_the_Influenza_Virion	5	4	10	3	2	3	6
Defective_C1GALT1C1_causes_Tn_polyagglutination_syndrome_(TNPS)	1	1	1	0	3	1	3
Carnitine_synthesis	3	6	1	4	21	4	6
HSP90_chaperone_cycle_for_SHRs	1	12	34	4	6	2	7
G_protein_gated_Potassium_channels	1	0	0	0	0	0	0
Formation_of_TC-NER_Pre-Incision_Complex	1	8	27	5	10	1	6
G_beta:gamma_signalling_through_PLC_beta	2	21	54	5	15	6	5
SCF-beta-TrCP_mediated_degradation_of_Emi1	1	6	18	2	5	2	6
TP53_Regulates_Transcription_of_Cell_Death_Genes	1	0	0	0	0	0	0
APC_truncation_mutants_have_impaired_AXIN_binding	1	1	2	4	0	1	3
Scavenging_by_Class_A_Receptors	1	10	16	4	0	4	6
Proton-coupled_monocarboxylate_transport	1	1	1	0	2	3	4
TICAM1_deficiency_-_HSE	1	1	1	1	0	2	2
Defective_TPR_may_confer_susceptibility_towards_thyroid_papillary_carcinoma_(TPC)	1	1	1	0	0	1	3
HDL_clearance	1	6	6	3	6	2	6
PIPs_transport_between_late_endosome_and_Golgi_membranes	3	2	2	0	10	4	6
PKA_activation	2	12	15	5	11	4	7
The_proton_buffering_model	4	4	7	1	11	4	5
Defective_SLC40A1_causes_hemochromatosis_4_(HFE4)_(macrophages)	1	1	0	0	3	1	3
Interaction_With_The_Zona_Pellucida	1	2	3	2	0	3	5
Cytokine_Signaling_in_Immune_system	1	0	0	0	0	0	0
Defective_SLC22A5_causes_systemic_primary_carnitine_deficiency_(CDSP)	1	1	0	0	4	1	3
Prolonged_ERK_activation_events	1	0	0	0	0	0	0
Kinesins	1	14	15	9	5	1	6
Loss_of_Function_of_SMAD4_in_Cancer	1	0	0	0	0	0	0
MAPK6-MAPK4_signaling	5	50	70	25	10	4	8
Regulation_of_innate_immune_responses_to_cytosolic_DNA	1	7	20	5	0	3	6
Fc_epsilon_receptor_(FCERI)_signaling	1	8	13	4	5	3	5
Synthesis_of_active_ubiquitin:_roles_of_E1_and_E2_enzymes	1	16	41	6	7	2	6
Metabolism_of_ingested_SeMet,_Sec,_MeSec_into_H2Se	1	15	1	6	37	1	6
SUMOylation_of_transcription_cofactors	1	30	84	26	0	1	7
Erythropoietin_activates_Phosphoinositide-3-kinase_(PI3K)	1	8	21	1	7	3	6
TGF-beta_receptor_signaling_in_EMT_(epithelial_to_mesenchymal_transition)	1	7	15	4	5	4	5
Myoclonic_epilepsy_of_Lafora	1	2	4	0	5	1	3
Negative_regulation_of_the_PI3K-AKT_network	5	13	26	2	14	4	6
Nucleotide_Excision_Repair	1	0	0	0	0	0	0
Interleukin-12_family_signaling	1	0	0	0	0	0	0
Translesion_synthesis_by_Y_family_DNA_polymerases_bypasses_lesions_on_DNA_template	1	0	0	0	0	0	0
Phase_4_-_resting_membrane_potential	1	2	2	0	3	3	4
Viral_mRNA_Translation	1	2	4	1	0	2	5
Metabolism_of_nitric_oxide	1	0	0	0	0	0	0
MPS_IIIC_-_Sanfilippo_syndrome_C	1	2	0	0	6	2	2
Immune_System	1	0	0	0	0	0	0
Downstream_signal_transduction	2	21	52	7	9	3	5
Mitophagy	1	0	0	0	0	0	0
MECP2_regulates_transcription_factors	1	9	14	4	0	1	7
Activated_NTRK3_signals_through_PLCG1	1	3	7	1	5	3	5
WNT_ligand_secretion_is_abrogated_by_the_PORCN_inhibitor_LGK974	1	1	0	1	1	2	3
Abortive_elongation_of_HIV-1_transcript_in_the_absence_of_Tat	1	5	11	0	0	1	6
TICAM1,TRAF6-dependent_induction_of_TAK1_complex	1	13	36	3	5	3	5
Assembly_of_the_pre-replicative_complex	1	7	12	4	0	1	6
TWIK-releated_acid-sensitive_K+_channel_(TASK)	1	1	1	0	3	3	4
Resolution_of_AP_sites_via_the_multiple-nucleotide_patch_replacement_pathway	1	6	10	3	5	1	6
Protein_folding	1	0	0	0	0	0	0
Transcriptional_Regulation_by_MECP2	2	19	32	9	5	2	8
Defective_SLC39A4_causes_acrodermatitis_enteropathica,_zinc-deficiency_type_(AEZ)	1	1	0	0	3	1	3
Defective_ABCG8_causes_gallbladder_disease_4_and_sitosterolemia	1	1	0	0	6	1	3
IkBA_variant_leads_to_EDA-ID	1	1	2	0	4	1	4
Synthesis,_secretion,_and_deacylation_of_Ghrelin	2	9	16	5	6	6	6
IPs_transport_between_nucleus_and_ER_lumen	3	2	0	2	11	3	6
Transmission_across_Chemical_Synapses	1	0	0	0	0	0	0
ERBB2_Regulates_Cell_Motility	1	5	5	3	5	3	5
Heparan_sulfate-heparin_(HS-GAG)_metabolism	1	0	0	0	0	0	0
Signaling_by_activated_point_mutants_of_FGFR3	1	6	15	1	6	3	6
Toxicity_of_botulinum_toxin_type_E_(BoNT-E)	1	5	8	3	3	5	6
Role_of_LAT2-NTAL-LAB_on_calcium_mobilization	3	11	18	6	12	3	5
Signaling_by_activated_point_mutants_of_FGFR1	1	4	7	1	6	3	6
Activated_NOTCH1_Transmits_Signal_to_the_Nucleus	2	24	52	11	0	6	6
Triglyceride_catabolism	3	17	13	8	22	4	6
Signaling_by_TGF-beta_family_members	1	0	0	0	0	0	0
E2F-enabled_inhibition_of_pre-replication_complex_formation	1	2	5	1	0	1	5
Interleukin-35_Signalling	1	30	65	11	5	5	6
Defective_GCK_causes_maturity-onset_diabetes_of_the_young_2_(MODY2)	1	1	0	0	5	1	3
Clathrin-mediated_endocytosis	1	29	96	16	12	5	5
Eicosanoids	1	13	5	5	23	3	5
HDMs_demethylate_histones	1	17	38	3	9	1	5
Phosphorylation_of_proteins_involved_in_G1-S_transition_by_active_Cyclin_E:Cdk2_complexes	1	2	5	1	5	1	6
Signaling_by_Type_1_Insulin-like_Growth_Factor_1_Receptor_(IGF1R)	1	5	13	2	5	3	5
SUMOylation_of_immune_response_proteins	1	7	19	9	0	2	7
Glycosaminoglycan_metabolism	1	0	0	0	0	0	0
Presynaptic_phase_of_homologous_DNA_pairing_and_strand_exchange	2	8	19	12	8	2	6
Synthesis_of_glycosylphosphatidylinositol_(GPI)	3	11	5	7	22	5	6
Inositol_phosphate_metabolism	1	0	0	0	0	0	0
PDE3B_signalling	1	3	0	3	9	2	6
FCGR_activation	1	8	22	2	6	3	5
Defective_SLC6A5_causes_hyperekplexia_3_(HKPX3)	1	1	0	0	5	1	3
HIV_elongation_arrest_and_recovery	1	4	8	0	0	1	6
COPII-mediated_vesicle_transport	1	16	55	11	10	6	6
Transport_of_fatty_acids	1	2	2	0	2	3	5
mRNA_Splicing	1	0	0	0	0	0	0
Negative_regulation_of_NOTCH4_signaling	6	8	11	5	5	3	7
RNA_Pol_II_CTD_phosphorylation_and_interaction_with_CE_during_HIV_infection	1	6	14	3	7	1	6
Glucagon-type_ligand_receptors	1	12	23	11	4	4	5
RUNX1_regulates_transcription_of_genes_involved_in_BCR_signaling	1	6	11	6	0	2	7
Influenza_Virus_Induced_Apoptosis	3	2	1	4	0	4	4
Rev-mediated_nuclear_export_of_HIV_RNA	1	13	17	7	5	3	7
Metal_sequestration_by_antimicrobial_proteins	1	5	6	2	7	2	4
Regulation_of_APC-C_activators_between_G1-S_and_early_anaphase	1	12	29	4	9	2	6
Nef_Mediated_CD4_Down-regulation	1	7	14	5	0	4	5
Constitutive_Signaling_by_NOTCH1_t(7;9)(NOTCH1:M1580_K2555)_Translocation_Mutant	1	5	1	5	0	2	5
mRNA_decay_by_3'_to_5'_exoribonuclease	1	5	6	8	12	1	6
HDL_assembly	2	13	6	8	15	6	6
Synthesis,_secretion,_and_inactivation_of_Glucose-dependent_Insulinotropic_Polypeptide_(GIP)	3	5	1	3	0	6	6
Sulfide_oxidation_to_sulfate	1	8	0	8	22	3	6
TP53_regulates_transcription_of_several_additional_cell_death_genes_whose_specific_roles_in_p53-dependent_apoptosis_remain_uncertain	1	23	12	13	13	3	8
Ubiquitin-dependent_degradation_of_Cyclin_D	1	0	0	0	0	0	0
Inhibition_of_adenylate_cyclase_pathway	1	0	0	0	0	0	0
Constitutive_Signaling_by_NOTCH1_PEST_Domain_Mutants	1	22	52	10	5	4	7
RUNX2_regulates_osteoblast_differentiation	4	28	65	15	5	5	8
TP53_Regulates_Transcription_of_Genes_Involved_in_G2_Cell_Cycle_Arrest	2	19	14	14	5	2	8
betaKlotho-mediated_ligand_binding	1	6	13	6	7	3	5
RAS_signaling_downstream_of_NF1_loss-of-function_variants	1	1	2	0	0	2	2
Sensing_of_DNA_Double_Strand_Breaks	1	20	21	15	8	2	6
Vitamin_B2_(riboflavin)_metabolism	1	5	1	4	13	3	6
Response_of_Mtb_to_phagocytosis	1	0	0	0	0	0	0
Interleukin-23_signaling	1	12	26	7	5	5	5
Release_of_apoptotic_factors_from_the_mitochondria	4	7	11	7	0	4	6
IPs_transport_between_cytosol_and_ER_lumen	7	10	3	4	17	3	6
Erythropoietin_activates_RAS	1	9	26	1	7	3	5
L1CAM_interactions	1	9	9	10	8	3	5
GABA_synthesis,_release,_reuptake_and_degradation	1	3	7	10	2	5	5
SMAD2-3_MH2_Domain_Mutants_in_Cancer	1	4	7	2	5	4	6
LDL_clearance	4	19	21	9	14	13	6
CRMPs_in_Sema3A_signaling	1	5	15	3	5	3	5
Unblocking_of_NMDA_receptors,_glutamate_binding_and_activation	1	6	10	0	12	3	5
TYSND1_cleaves_peroxisomal_proteins	1	9	6	7	5	3	7
Golgi_Cisternae_Pericentriolar_Stack_Reorganization	3	7	18	4	8	4	7
Defective_SLC1A1_is_implicated_in_schizophrenia_18_(SCZD18)_and_dicarboxylic_aminoaciduria_(DCBXA)	1	1	0	0	5	2	2
Interactions_of_Rev_with_host_cellular_proteins	1	0	0	0	0	0	0
RNA_Polymerase_III_Transcription_Initiation_From_Type_3_Promoter	3	6	14	2	0	1	6
Defective_SLC35C1_causes_congenital_disorder_of_glycosylation_2C_(CDG2C)	1	1	0	0	2	1	3
Reactions_specific_to_the_hybrid_N-glycan_synthesis_pathway	1	1	0	1	4	2	4
Mitochondrial_Uncoupling_Proteins	1	0	0	0	0	0	0
Defective_ALG6_causes_ALG6-CDG_(CDG-1c)	1	1	0	0	3	1	3
Gap-filling_DNA_repair_synthesis_and_ligation_in_GG-NER	2	3	12	3	5	1	6
Retinoid_metabolism_and_transport	2	27	24	14	21	7	6
Interleukin-4_and_Interleukin-13_signaling	2	51	94	20	5	7	6
Formation_of_the_Editosome	1	5	11	18	6	1	6
Inactivation_of_CDC42_and_RAC1	1	6	9	5	8	2	5
PTK6_Activates_STAT3	2	11	17	4	5	4	7
Removal_of_the_Flap_Intermediate	1	6	12	3	7	1	6
APC-C:Cdh1_mediated_degradation_of_Cdc20_and_other_APC-C:Cdh1_targeted_proteins_in_late_mitosis-early_G1	3	6	21	1	0	2	6
TCF7L2_mutants_don't_bind_CTBP	1	1	2	0	0	1	3
RUNX1_regulates_genes_involved_in_megakaryocyte_differentiation_and_platelet_function	1	34	91	14	6	4	8
t(4;14)_translocations_of_FGFR3	1	2	1	1	5	2	5
Butyrophilin_(BTN)_family_interactions	1	8	6	9	0	3	4
CHL1_interactions	1	5	6	5	3	2	4
Fibronectin_matrix_formation	1	3	5	1	2	2	6
Defective_SLC33A1_causes_spastic_paraplegia_42_(SPG42)	1	1	0	0	4	1	3
Signaling_by_FGFR3_fusions_in_cancer	1	9	17	3	9	2	6
Reelin_signalling_pathway	1	4	7	5	5	3	5
Synthesis_of_PIPs_in_the_nucleus	3	2	1	2	10	3	6
Regulation_of_activated_PAK-2p34_by_proteasome_mediated_degradation	1	3	3	1	5	1	6
Activation_of_BH3-only_proteins	1	0	0	0	0	0	0
Pink-Parkin_Mediated_Mitophagy	2	7	11	7	0	5	6
Prolactin_receptor_signaling	1	19	47	5	5	4	7
PPARA_activates_gene_expression	4	56	82	61	5	11	7
Amplification_of_signal_from_unattached_kinetochores_via_a_MAD2_inhibitory_signal	1	6	10	5	0	1	6
Cell_Cycle_Checkpoints	1	0	0	0	0	0	0
Defective_SLC35A3_causes_arthrogryposis,_mental_retardation,_and_seizures_(AMRS)	1	1	0	0	4	2	2
Deletions_in_the_AXIN_genes_in_hepatocellular_carcinoma_result_in_elevated_WNT_signaling	1	1	0	0	0	1	3
Negative_epigenetic_regulation_of_rRNA_expression	1	0	0	0	0	0	0
GABA_A_(rho)_receptor_activation	1	1	1	0	3	3	4
Proton-oligopeptide_cotransporters	1	2	2	0	2	5	4
RUNX1_interacts_with_co-factors_whose_precise_effect_on_RUNX1_targets_is_not_known	1	6	14	4	5	1	7
SUMOylation_of_RNA_binding_proteins	1	6	18	4	0	3	7
Defective_MAOA_causes_Brunner_syndrome_(BRUNS)	1	1	0	0	7	1	3
Signaling_by_Interleukins	1	0	0	0	0	0	0
Ligand-receptor_interactions	1	4	9	4	0	3	3
Negative_regulation_of_MET_activity	1	11	30	4	8	3	6
Organelle_biogenesis_and_maintenance	1	0	0	0	0	0	0
Detoxification_of_Reactive_Oxygen_Species	3	46	15	29	42	12	6
Transcriptional_Regulation_by_TP53	1	0	0	0	0	0	0
Mitochondrial_transcription_initiation	1	3	2	2	0	1	6
Highly_calcium_permeable_nicotinic_acetylcholine_receptors	1	2	3	0	5	3	5
Nef_mediated_downregulation_of_MHC_class_I_complex_cell_surface_expression	1	4	9	2	0	3	5
TALDO1_deficiency:_failed_conversion_of_Fru(6)P,_E4P_to_SH7P,_GA3P	1	1	0	0	4	1	3
Ub-specific_processing_proteases	1	44	126	13	5	5	6
Membrane_Trafficking	1	0	0	0	0	0	0
Glycogen_storage_diseases	1	0	0	0	0	0	0
InlA-mediated_entry_of_Listeria_monocytogenes_into_host_cells	1	5	11	4	5	4	6
Cell_death_signalling_via_NRAGE,_NRIF_and_NADE	1	0	0	0	0	0	0
G2-M_Checkpoints	4	4	11	2	0	2	6
Signaling_by_GPCR	1	0	0	0	0	0	0
RNA_Polymerase_I_Chain_Elongation	1	1	2	0	0	1	5
Gastrin-CREB_signalling_pathway_via_PKC_and_MAPK	3	5	10	5	5	5	6
TBC-RABGAPs	1	14	22	15	6	14	5
CaM_pathway	1	15	24	4	9	7	7
Constitutive_Signaling_by_EGFRvIII	1	22	48	8	9	3	6
Cell-Cell_communication	1	0	0	0	0	0	0
Diseases_associated_with_N-glycosylation_of_proteins	1	0	0	0	0	0	0
phospho-PLA2_pathway	2	9	3	5	18	3	5
TRAF6-mediated_induction_of_TAK1_complex_within_TLR4_complex	1	14	39	3	5	3	5
Regulation_of_IGF_Activity_by_IGFBP	1	14	35	9	5	3	6
Cytosolic_tRNA_aminoacylation	1	32	14	19	46	1	6
Defective_TCN2_causes_hereditary_megaloblastic_anemia	1	1	0	1	4	1	3
Transcriptional_Regulation_by_E2F6	1	34	62	18	5	2	8
TFAP2_(AP-2)_family_regulates_transcription_of_cell_cycle_factors	1	5	6	5	0	1	8
Activation_of_BID_and_translocation_to_mitochondria	5	10	12	10	0	6	6
MECP2_regulates_transcription_of_neuronal_ligands	1	9	16	4	0	3	8
Signaling_by_BMP	1	18	44	7	5	5	7
ADP_signalling_through_P2Y_purinoceptor_12	1	9	24	1	6	4	5
Defective_Mismatch_Repair_Associated_With_MLH1	1	1	1	1	0	1	3
vRNA_Synthesis	1	2	6	1	0	1	6
L13a-mediated_translational_silencing_of_Ceruloplasmin_expression	1	4	7	3	5	1	6
Formation_of_Fibrin_Clot_(Clotting_Cascade)	1	0	0	0	0	0	0
Keratan_sulfate-keratin_metabolism	1	0	0	0	0	0	0
Defective_SLC40A1_causes_hemochromatosis_4_(HFE4)_(duodenum)	1	1	0	0	3	1	3
Cellular_response_to_heat_stress	1	0	0	0	0	0	0
TRP_channels	1	2	3	0	4	3	4
Frs2-mediated_activation	1	7	14	4	7	4	5
Interleukin-33_signaling	1	2	4	3	0	2	5
Activation_of_the_phototransduction_cascade	1	11	16	3	15	4	7
Regulation_of_mitotic_cell_cycle	1	0	0	0	0	0	0
Signaling_by_NTRK2_(TRKB)	1	0	0	0	0	0	0
Virus_Assembly_and_Release	1	0	0	0	0	0	0
Regulation_of_TP53_Activity	1	0	0	0	0	0	0
Formation_of_the_ternary_complex,_and_subsequently,_the_43S_complex	1	5	12	0	10	1	6
Phenylketonuria	1	1	0	0	7	1	3
Interaction_between_PHLDA1_and_AURKA	1	2	3	2	5	1	6
Activation_of_the_AP-1_family_of_transcription_factors	1	11	15	3	5	2	6
NrCAM_interactions	1	4	5	4	0	2	4
Digestion	1	3	2	3	12	3	5
NOTCH2_intracellular_domain_regulates_transcription	2	9	14	8	0	3	7
Defective_ABCC2_causes_Dubin-Johnson_syndrome	1	1	0	0	6	1	3
TP53_Regulates_Transcription_of_Cell_Cycle_Genes	1	0	0	0	0	0	0
The_IPAF_inflammasome	1	4	3	2	0	2	6
Defective_AHCY_causes_Hypermethioninemia_with_S-adenosylhomocysteine_hydrolase_deficiency_(HMAHCHD)	1	1	0	0	6	1	3
MMR	1	0	0	0	0	0	0
SCF(Skp2)-mediated_degradation_of_p27-p21	1	13	39	2	5	4	6
GABA_synthesis	1	2	1	1	9	2	5
NOTCH2_Activation_and_Transmission_of_Signal_to_the_Nucleus	2	13	21	9	0	6	6
G_alpha_(z)_signalling_events	1	18	44	1	12	3	8
rRNA_modification_in_the_mitochondrion	5	6	1	5	6	3	6
Binding_and_entry_of_HIV_virion	2	9	21	2	0	4	5
Metabolism_of_vitamins_and_cofactors	1	0	0	0	0	0	0
SLBP_Dependent_Processing_of_Replication-Dependent_Histone_Pre-mRNAs	4	5	14	5	0	3	6
IPs_transport_between_ER_lumen_and_cytosol	5	9	6	3	16	5	6
PLCG1_events_in_ERBB2_signaling	1	4	5	1	5	3	5
FGFR1b_ligand_binding_and_activation	1	8	18	5	7	4	5
BH3-only_proteins_associate_with_and_inactivate_anti-apoptotic_BCL-2_members	13	6	10	8	0	3	6
LRR_FLII-interacting_protein_1_(LRRFIP1)_activates_type_I_IFN_production	2	4	4	3	5	2	6
Transport_of_the_SLBP_Dependant_Mature_mRNA	4	5	15	5	0	3	6
Biosynthesis_of_E-series_18(R)-resolvins	2	8	0	6	18	4	6
Miscellaneous_transport_and_binding_events	1	14	8	11	12	9	6
CD28_dependent_PI3K-Akt_signaling	18	35	58	16	7	4	6
RET_signaling	1	25	60	9	7	3	7
FGFR3b_ligand_binding_and_activation	1	6	14	4	7	3	5
Translesion_Synthesis_by_POLH	1	10	30	3	9	1	7
Defective_B4GALT7_causes_EDS,_progeroid_type	1	1	1	0	3	1	3
Diseases_of_signal_transduction	1	0	0	0	0	0	0
Signaling_by_NOTCH1_PEST_Domain_Mutants_in_Cancer	1	0	0	0	0	0	0
APC-C:Cdc20_mediated_degradation_of_Securin	3	6	15	3	0	1	6
MPS_IV_-_Morquio_syndrome_B	1	2	0	0	7	1	3
MPS_IV_-_Morquio_syndrome_A	1	1	0	0	6	1	3
Pyrophosphate_hydrolysis	1	12	2	10	30	2	6
Response_to_elevated_platelet_cytosolic_Ca2+	1	9	12	3	11	5	5
Complement_cascade	1	0	0	0	0	0	0
ARL13B-mediated_ciliary_trafficking_of_INPP5E	1	4	7	3	0	2	6
Nectin-Necl_trans_heterodimerization	1	8	8	7	0	2	4
Antimicrobial_peptides	2	31	36	14	10	6	6
Synthesis_of_diphthamide-EEF2	1	5	1	5	13	1	6
ABC_transporters_in_lipid_homeostasis	1	13	8	8	12	11	5
