Reactome node type	Reactome Label	Reactome Id	Curator asserted GO types	Rule-assigned types	Inferred GO types
Molecular Function	B3GATs transfer GlcA to tetrasaccharide linker	R-HSA-1889955 	GO_0015018: galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase activity,		
Molecular Function	GLCE epimerises more GlcA to IdoA as sulfate content rises	R-HSA-2076371 	GO_0050379: UDP-glucuronate 5'-epimerase activity,		
Molecular Function	SLC35D2 exchanges UDP-sugars for UMP	R-HSA-744231 	GO_0005338: nucleotide-sugar transmembrane transporter activity,		
Molecular Function	HS6STs sulfate GlcN at C6 in heparan sulfate/heparin	R-HSA-2076419 	GO_0017095: heparan sulfate 6-O-sulfotransferase activity,		
Molecular Function	HS3ST1 sulfates GlcN at C3 in heparan sulfate	R-HSA-2076383 	GO_0008467: [heparan sulfate]-glucosamine 3-sulfotransferase 1 activity,		
Molecular Function	SLC35B2,3 transport cytosolic PAPS to Golgi lumen	R-HSA-741449 	GO_0046964: 3'-phosphoadenosine 5'-phosphosulfate transmembrane transporter activity,		
Complex	Gal-Gal-Xyl-proteins	R-HSA-2064214 			
Complex	EXT1:EXT2	R-HSA-2022878 			GO_1990234: transferase complex,
Complex	HS(3)-PGs	R-HSA-2076297 			
Complex	Heparan-PGs	R-HSA-2076465 			
Complex	B3GAT dimers	R-HSA-1889954 			GO_1990234: transferase complex,
Complex	GlcA-Gal-Gal-Xyl-proteins	R-HSA-2064225 			
Complex	GlcA-Gal-Gal-Xyl-HS proteins	R-HSA-2076551 			
Complex	HS/HPIN-PGs	R-HSA-2090050 			
Complex	HS(2)-PGs	R-HSA-2076425 			
Complex	Heparan(4)-PGs	R-HSA-2076346 			
Complex	Heparan(2)-PGs	R-HSA-2076412 			
Complex	HS(5)-PGs	R-HSA-2076461 			
Complex	B3GNT1,2,3,4,7	R-HSA-2046221 			GO_1990234: transferase complex,
Complex	HS(4)-PGs	R-HSA-2076491 			
Complex	Keratan(1)-PG	R-HSA-2046187 			
Complex	NDSTs	R-HSA-2022936 			GO_1902494: catalytic complex,GO_1990234: transferase complex,
Complex	Heparan(1)-PGs	R-HSA-2076416 			
Complex	HS3ST sulfotransferases	R-HSA-2869445 			GO_1990234: transferase complex,
Complex	HS core proteins	R-HSA-2090076 			
Complex	HS/HPIN-PGs	R-HSA-2076639 			
Complex	HS(1)-PGs	R-HSA-2076452 			
Complex	HS3STs	R-HSA-2076438 			GO_1990234: transferase complex,
Complex	Heparan(3)-PGs	R-HSA-2076535 			
Complex	HS6STs	R-HSA-2076470 			GO_1990234: transferase complex,
Complex	HS/HPIN-PGs	R-HSA-2076357 			
Complex	Gal-glycan-protein	R-HSA-2046271 			
Complex	PAPST1,2	R-HSA-3465611 			GO_1902495: transmembrane transporter complex,
Biological Process	CFTR transits to the plasma membrane	R-HSA-8866851 			GO_0090150: establishment of protein localization to membrane,GO_0051668: localization within membrane,
Biological Process	ABC-family proteins mediated transport	R-HSA-382556 	GO_0055085: transmembrane transport,		
Molecular Function	HCO3- transport through ion channel	R-HSA-383190 	GO_0017081: chloride channel regulator activity,		
Molecular Function	ABCA4 mediates atRAL transport	R-HSA-1467466 	GO_0005395: eye pigment precursor transporter activity,		
Molecular Function	CFTR transports Cl- from cytosol to extracellular region	R-HSA-5678863 	GO_0015108: chloride transmembrane transporter activity,		
Molecular Function	ABCA8,B1,B5 transport xenobiotics from cytosol to extracellular region	R-HSA-1467457 	GO_0008559: xenobiotic transmembrane transporting ATPase activity,		
Molecular Function	p-MII:SAG dissociates to p-RHO and SAG	R-HSA-74947 			
Molecular Function	misfolded CFTR is degraded by the 26S proteasome	R-HSA-8866553 	GO_0004175: endopeptidase activity,		
Molecular Function	RDH8 reduces atRAL to atROL	R-HSA-2464803 	GO_0052650: NADP-retinol dehydrogenase activity,		
Molecular Function	RDH12 reduces atRAL to atROL	R-HSA-2464822 	GO_0052650: NADP-retinol dehydrogenase activity,		
Molecular Function	ABCC2 transports BMG,BDG from cytosol to extracellular region	R-HSA-5679041 	GO_0015127: bilirubin transmembrane transporter activity,		
Molecular Function	ABCB4 transports PC from plasma membrane to extracellular region	R-HSA-5678706 	GO_0005548: phospholipid transporter activity,		
Molecular Function	VCP-catalyzed ATP hydrolysis promotes the translocation of misfolded CFTR into the cytosol	R-HSA-8866542 		GO_0005515: protein binding,	GO_0005524: ATP binding,GO_0050824: water binding,
Molecular Function	The ABCC family mediates organic anion transport	R-HSA-1454916 	GO_0043225: ATPase-coupled anion transmembrane transporter activity,		
Molecular Function	RNF5 and RNF185 ubiquitinate misfolded CFTR	R-HSA-8866546 	GO_0061630: ubiquitin protein ligase activity,		
Molecular Function	CFTR binds components of the ERAD machinery for ubiquitination and degradation	R-HSA-8866551 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	KCNJ11:ABCC9 transports K+ from extracellular region to cytosol	R-HSA-5678261 	GO_0005242: inward rectifier potassium channel activity,		
Molecular Function	ABCF1 binds EIF2	R-HSA-5227009 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	ABCB9 transports peptides from cytosol to lysosomal lumen	R-HSA-5223317 	GO_0015421: oligopeptide-transporting ATPase activity,		
Complex	p-RHO:SAG	R-HSA-2632519 			
Complex	Ub	R-HSA-6793517 			
Complex	MP	R-HSA-72515 			
Complex	ABCCs	R-HSA-1454912 			GO_0098533: ATPase dependent transmembrane transport complex,
Complex	ABCA8/B1/B5	R-HSA-1467470 			GO_0098533: ATPase dependent transmembrane transport complex,
Complex	Ub-misfolded nascent CFTR	R-HSA-8866534 			
Complex	26S proteasome	R-HSA-68819 			GO_1905369: endopeptidase complex,
Complex	RDH8-like proteins	R-HSA-4127419 			GO_1902494: catalytic complex,
Complex	ABCF1:EIF2S1:EIF2S2:EIF2S3	R-HSA-5226905 			
Complex	Ub-misfolded nascent CFTR:ERAD complex	R-HSA-8866535 			
Complex	misfolded CFTR:ERAD complex	R-HSA-8866538 			GO_0000151: ubiquitin ligase complex,
Complex	ERAD complex	R-HSA-8866531 			
Complex	KCNJ11:ABCC9	R-HSA-5678267 			GO_1902937: inward rectifier potassium channel complex,
Biological Process	Conjugation of benzoate with glycine	R-HSA-177135 	GO_0006805: xenobiotic metabolic process,		GO_0046033: AMP metabolic process,GO_0016999: antibiotic metabolic process,GO_0042537: benzene-containing compound metabolic process,GO_0006082: organic acid metabolic process,GO_1901787: benzoyl-CoA metabolic process,GO_0006575: cellular modified amino acid metabolic process,GO_0015936: coenzyme A metabolic process,GO_0046034: ATP metabolic process,
Molecular Function	Benzoate and Coenzyme A react to form benzoyl-CoA thioester	R-HSA-159443 	GO_0016405: CoA-ligase activity,		
Molecular Function	Benzoyl-CoA forms an amide bond with glycine	R-HSA-159566 	GO_0047962: glycine N-benzoyltransferase activity,		
Complex	GLYAT-like proteins	R-HSA-3968340 			GO_1990234: transferase complex,
Complex	xenobiotic/medium-chain fatty acid:CoA ligases	R-HSA-177125 			GO_1902494: catalytic complex,
Biological Process	Interleukin receptor SHC signaling	R-HSA-912526 			
Molecular Function	SHC1 bound to the common beta chain becomes tyrosine phosphorylated	R-HSA-879925 	GO_0004713: protein tyrosine kinase activity,		
Molecular Function	CBL binds to GRB2	R-HSA-183052 		GO_0005515: protein binding,	
Molecular Function	Gab2 binds the p85 subunit of Class 1A PI3 kinases	R-HSA-508247 			
Molecular Function	Phosphorylated SHC recruits GRB2:SOS1	R-HSA-453111 		GO_0005515: protein binding,	
Molecular Function	RAS GEFs promote RAS nucleotide exchange	R-HSA-5672965 	GO_0005088: Ras guanyl-nucleotide exchange factor activity,		GO_0005525: GTP binding,GO_0044877: protein-containing complex binding,
Molecular Function	SHC1 mediates cytokine-induced phosphorylation of GAB2	R-HSA-912527 			
Molecular Function	Phosphorylated SHC1 recruits SHIP	R-HSA-913374 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	The SHC1:SHIP1 complex is stabilized by GRB2	R-HSA-913424 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	GRB2-1 binds SOS1	R-HSA-109813 		GO_0005515: protein binding,	
Molecular Function	Phosphorylated SHC1 recruits GRB2:GAB2	R-HSA-453104 			
Molecular Function	SHC1 bound to IL2 receptor is phosphorylated	R-HSA-452100 	GO_0004713: protein tyrosine kinase activity,		
Complex	CBL:GRB2	R-HSA-182910 			
Complex	Interleukin receptor complexes with activated SHC1:SHIP1	R-HSA-913378 			
Complex	High affinity binding complex dimers of cytokine receptors using Bc, inactive JAK2, p-(Y593,628)-Bc:p(427,349,350)-SHC1	R-HSA-913439 			
Complex	High affinity binding complex dimers of cytokine receptors using Bc, inactive JAK2, p(Y593,628)-Bc:SHC1	R-HSA-913458 			
Complex	IL2:IL2R trimer p-(Y338,392,510)-beta subunit:p-JAK1:JAK3:SHC	R-HSA-452095 			
Complex	p85-containing Class 1A PI3Ks	R-HSA-508248 			
Complex	p21 RAS:GDP	R-HSA-109796 			
Complex	IL2:IL2R trimer p-(Y338,392,510)-beta subunit:p-JAK1:JAK3:p-SHC	R-HSA-453099 			
Complex	Interleukin receptor complexes with activated SHC1:GRB2:SOS1	R-HSA-921157 			
Complex	Interleukin receptor complexes with activated SHC1:SHIP:GRB2	R-HSA-913411 			
Complex	p21 RAS:GTP	R-HSA-109783 			
Complex	GRB2-1:SOS1	R-HSA-109797 			
Complex	SHIP1,2	R-HSA-913467 			
Complex	GRB2:GAB2	R-HSA-912522 			
Complex	Interleukin receptor complexes with activated SHC1:SHIP1,2	R-HSA-913393 			
Complex	SHC kinases in IL2 signaling	R-HSA-453105 			GO_1902911: protein kinase complex,
Biological Process	Opioid Signalling	R-HSA-111885 			
Molecular Function	The high affinity receptor complex binds to G-protein	R-HSA-167408 	GO_0004930: G-protein coupled receptor activity,		
Molecular Function	Opioid binds MOR	R-HSA-112042 		GO_0005515: protein binding,	
Molecular Function	Opioid dissociates from MOR	R-HSA-167427 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Complex	Opioid:MOR	R-HSA-112039 			GO_0043235: receptor complex,
Complex	Opioid peptide	R-HSA-167443 			
Complex	Opioid:MOR:G protein-GDP complex	R-HSA-167403 			
Complex	G protein-GDP complex	R-HSA-167418 			
Biological Process	Lysosome Vesicle Biogenesis	R-HSA-432720 			
Molecular Function	trans-Golgi Network Lysosomal Vesicle Scission	R-HSA-432707 	GO_0003924: GTPase activity,		
Molecular Function	trans-Golgi Network Lysosome Vesicle Destined Membrane Coat Assembly	R-HSA-432706 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	Vamp And trans-Golgi Network AP-1 Binding Coupled With Cargo Capture On Lysosome Vesicle Destined Golgi Membrane	R-HSA-432712 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	AP4 binds APP	R-HSA-5229132 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	trans-Golgi Network Derived Lysosomal Vesicle Uncoating	R-HSA-432688 		GO_0005515: protein binding,	GO_0005524: ATP binding,GO_0044877: protein-containing complex binding,
Molecular Function	AP1G2 binds HGS and CHMP2A	R-HSA-5671702 		GO_0005515: protein binding,	
Molecular Function	AP4 transports APP from trans-Golgi network to endosome lumen	R-HSA-5229111 	GO_0008565: protein transporter activity,		
Molecular Function	trans-Golgi Network Coat Activation	R-HSA-350769 	GO_0005086: ARF guanyl-nucleotide exchange factor activity,		GO_0005525: GTP binding,
Molecular Function	CLAT:AP1:CLVS bind PI(3,5)P2	R-HSA-5333658 		GO_0005515: protein binding,	GO_1902936: phosphatidylinositol bisphosphate binding,GO_0044877: protein-containing complex binding,
Molecular Function	Vamp7 associated Lysosome to Plasma membrane transport	R-HSA-376357 	GO_0000149: SNARE binding,		
Complex	AP4:APP	R-HSA-5229081 			GO_0098796: membrane protein complex,GO_1990351: transporter complex,
Complex	Lysosome Destined Cargo:AP-1:Beta-arrestin:Vamp:Clathrin Triskelion:Dynamin:Endophilin Complex	R-HSA-432704 			GO_1905360: GTPase complex,
Complex	Vamp	R-HSA-432694 			
Complex	AP4:APP	R-HSA-5229085 			
Complex	Lysosome Cargo:AP-1:Beta-arrestin:Clathrin Triskelion:Vamp Complex	R-HSA-432691 			
Complex	Lysosome Destined Cargo	R-HSA-432690 			
Complex	CLAT:AP1:CLVS:PI(3,5)P2	R-HSA-5334658 			
Complex	Lysosome Cargo	R-HSA-432697 			
Complex	AP-1 Complex	R-HSA-167717 			
Complex	Lysosome Cargo	R-HSA-435030 			
Complex	Lysosome Destined Cargo:AP-1:Arf1-GTP:beta-Arrestin-1:Vamp Complex	R-HSA-432700 			
Complex	Clathrin Triskelion	R-HSA-350827 			
Complex	Lysosome Destined Cargo	R-HSA-435031 			
Complex	AP1G2:HGS:CHMP2A	R-HSA-5671700 			
Complex	HSC70:Auxillin Complex	R-HSA-351175 			
Complex	Vamp	R-HSA-432668 			
Complex	AP4	R-HSA-5229123 			
Complex	Vamp7:SNAP23:Syn4 Plasma membrane vesicle docking and fusion complex	R-HSA-376340 			
Complex	CLAT:AP1:CLVS	R-HSA-5333673 			
Biological Process	Kandutsch-Russell pathway	R-HSA-6807062 	GO_0033490: cholesterol biosynthetic process via lathosterol,		GO_0072592: oxygen metabolic process,GO_0036196: zymosterol metabolic process,GO_0006739: NADP metabolic process,
Molecular Function	Photolytic cleavage and thermal isomerization of 7-dehydroCHOL	R-HSA-209754 			
Molecular Function	DHCR7 reduces 7-dehydroCHOL to CHOL	R-HSA-6807055 	GO_0047598: 7-dehydrocholesterol reductase activity,		
Molecular Function	SC5D desaturates LTHSOL to 7-dehydroCHOL	R-HSA-6807053 	GO_0000248: C-5 sterol desaturase activity,		
Molecular Function	DHCR24 reduces ZYMOL to ZYMSTNL	R-HSA-6807064 	GO_0050614: delta24-sterol reductase activity,		
Molecular Function	EBP isomerizes ZYMSTNL to LTHSOL	R-HSA-6807052 	GO_0004769: steroid delta-isomerase activity,		
Molecular Function	Zymosterone (cholesta-8(9),24-dien-3-one) is reduced to zymosterol (cholesta-8(9),24-dien-3beta-ol)	R-HSA-194632 	GO_0000253: 3-keto sterol reductase activity,		
Biological Process	reaction:Activation of CHEK1 at resected DNA DSBs: is xrefed to this process	R-HSA-5684887 	GO_0006260: DNA replication,		GO_0046031: ADP metabolic process,GO_0046034: ATP metabolic process,
Biological Process	Regulation of TP53 Activity through Phosphorylation	R-HSA-6804756 			
Molecular Function	TP53 binds the PCBP4 gene	R-HSA-6803391 			
Molecular Function	TP53 binds HIPK1	R-HSA-6799431 		GO_0005515: protein binding,	
Molecular Function	TP53 binds the DDB2 gene	R-HSA-6806417 			
Molecular Function	PLK3 phosphorylates TP53	R-HSA-6805285 	GO_0004674: protein serine/threonine kinase activity,		
Molecular Function	TP53 binds STK11 and NUAK1	R-HSA-6805035 		GO_0005515: protein binding,	
Molecular Function	TAF1 phosphorylates TP53	R-HSA-6805399 	GO_0004674: protein serine/threonine kinase activity,		GO_0098772: molecular function regulator,
Molecular Function	TP53 binds the FANCC gene	R-HSA-6806419 			
Molecular Function	CDK5 phosphorylates TP53	R-HSA-6805276 	GO_0004674: protein serine/threonine kinase activity,		GO_0098772: molecular function regulator,
Molecular Function	HIPK2 phosphorylates TP53	R-HSA-6799409 	GO_0004674: protein serine/threonine kinase activity,		
Molecular Function	TP53 binds the MLH1 gene	R-HSA-6806413 			
Molecular Function	TP53 binds the PIDD1 gene	R-HSA-6800279 			
Molecular Function	TP53 binds the E2F7 gene	R-HSA-6798304 			
Molecular Function	TP53 forms homotetramers	R-HSA-6804762 			
Molecular Function	TP53 binds ZNF385A	R-HSA-6803719 		GO_0005515: protein binding,	
Molecular Function	TP53 binds the MDM2 gene	R-HSA-3700997 			
Molecular Function	AURKB binds TP53	R-HSA-6805122 		GO_0005515: protein binding,	
Molecular Function	ATR activation at DNA DSBs	R-HSA-5685011 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	AURKB phosphorylates TP53	R-HSA-6805126 	GO_0004674: protein serine/threonine kinase activity,		
Molecular Function	TP53 and E2F4 bind the CDC25C gene	R-HSA-6798282 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	TP53 binds the PMAIP1 (NOXA) promoter	R-HSA-4331331 			
Molecular Function	Activation of CHEK1 at resected DNA DSBs	R-HSA-5684887 	GO_0004674: protein serine/threonine kinase activity,		
Molecular Function	TP53 stimulates expression of TP53INP1	R-HSA-6799416 			
Molecular Function	TP53 binds the ARID3A gene	R-HSA-6791387 			
Molecular Function	TP53 binds the APAF1 gene promoter	R-HSA-6791349 			
Molecular Function	TP53 binds the RGCC gene	R-HSA-6803914 			
Molecular Function	ING2 recruits EP300 to TP53	R-HSA-6811479 		GO_0005515: protein binding,	
Molecular Function	TP53 and CREBBP bind BNIP3L gene	R-HSA-6797993 		GO_0005515: protein binding,	
Molecular Function	TP53 binds the RABGGTA gene	R-HSA-6801087 			
Molecular Function	CDK2 phosphorylates TP53	R-HSA-6805109 	GO_0004693: cyclin-dependent protein serine/threonine kinase activity,		GO_0098772: molecular function regulator,
Molecular Function	TP53 or TP63 binds the PERP gene	R-HSA-6800836 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	NOC2L binds TP53	R-HSA-3222128 		GO_0005515: protein binding,	
Molecular Function	TP53 binds the BID gene promoter	R-HSA-6791285 			
Molecular Function	CK2:FACT phosphorylates TP53	R-HSA-6805059 	GO_0004674: protein serine/threonine kinase activity,		GO_0098772: molecular function regulator,
Molecular Function	AURKA phosphorylates TP53	R-HSA-6805103 	GO_0004674: protein serine/threonine kinase activity,		GO_0098772: molecular function regulator,
Molecular Function	KAT6A and PML bind TP53	R-HSA-6805620 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	NUAK1 phosphorylates TP53	R-HSA-3222020 	GO_0004674: protein serine/threonine kinase activity,		
Molecular Function	TP53 binds the IGFBP3 gene	R-HSA-6800042 			
Molecular Function	CK2 binds FACT	R-HSA-6805061 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	STK11 (LKB1) phosphorylates NUAK1	R-HSA-3222006 	GO_0004674: protein serine/threonine kinase activity,		
Molecular Function	ATR phosphorylates TP53	R-HSA-6799332 	GO_0004674: protein serine/threonine kinase activity,		GO_0098772: molecular function regulator,
Molecular Function	CHEK1 phosphorylates TP53	R-HSA-6799246 	GO_0004674: protein serine/threonine kinase activity,		
Molecular Function	TP53 binds POU4F1	R-HSA-6804402 		GO_0005515: protein binding,	
Molecular Function	TP53 binds the BCL6 gene	R-HSA-6800253 			
Molecular Function	TP53 binds the TRIAP1 gene	R-HSA-6801209 			
Molecular Function	TP53 binds the STEAP3 gene	R-HSA-6801166 			
Molecular Function	TP53 binds ZNF385A gene	R-HSA-6803425 			
Molecular Function	AMPK phosphorylates TP53	R-HSA-6805470 	GO_0004679: AMP-activated protein kinase activity,		GO_0098772: molecular function regulator,
Molecular Function	TP53 binds the CCNK gene	R-HSA-6796649 			
Molecular Function	TP53RK phosphorylates TP53	R-HSA-6805479 	GO_0004674: protein serine/threonine kinase activity,		GO_0098772: molecular function regulator,
Molecular Function	TP53 binds TNFRSF10A,TNFRSF10B,TNFRSF10C,TNFRSF10D genes	R-HSA-5633414 			
Molecular Function	TP53 binds the NLRC4 gene	R-HSA-6801355 			
Molecular Function	TP53 binds the BIRC5 gene	R-HSA-6797766 			
Molecular Function	TP53 binds the TP53AIP1 gene	R-HSA-6798615 			
Molecular Function	SETD9 methylates TP53	R-HSA-6805730 	GO_0016278: lysine N-methyltransferase activity,		
Molecular Function	MDM2 ubiquitinates DYRK2	R-HSA-6798373 	GO_0061630: ubiquitin protein ligase activity,		
Molecular Function	SETD8 methylates TP53	R-HSA-6805740 	GO_0016278: lysine N-methyltransferase activity,		
Molecular Function	TP53INP1 and HIPK2 bind TP53	R-HSA-3215251 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	ATM phosphorylates DYRK2	R-HSA-6798372 	GO_0004674: protein serine/threonine kinase activity,		
Molecular Function	SMYD2 methylates TP53	R-HSA-3222237 	GO_0016278: lysine N-methyltransferase activity,		
Molecular Function	DYRK2 phosphorylates TP53	R-HSA-6798374 	GO_0004674: protein serine/threonine kinase activity,		GO_0098772: molecular function regulator,
Molecular Function	TP53 binds the PLK2 gene	R-HSA-6801641 			
Molecular Function	TP53 binds the PMS2 gene	R-HSA-6806408 			
Molecular Function	RNF34 or RFFL ubiquitinates phosphorylated TP53	R-HSA-6804441 	GO_0061630: ubiquitin protein ligase activity,		
Molecular Function	TP53 binds the complex of JMY, EP300 and TTC5	R-HSA-6804242 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	TP53 binds the CDKN1A promoter	R-HSA-3786258 			
Molecular Function	CHEK2 phosphorylates TP53	R-HSA-69685 	GO_0004674: protein serine/threonine kinase activity,		
Molecular Function	MRN bound to shortened telomeres activates ATM	R-HSA-5682026 	GO_0004674: protein serine/threonine kinase activity,		GO_0098772: molecular function regulator,
Molecular Function	TP53 binds the BTG2 gene	R-HSA-6798020 			
Molecular Function	p-T68-CHEK2 autophosphorylates	R-HSA-5683792 	GO_0004674: protein serine/threonine kinase activity,		
Molecular Function	TP53 binds the BCL2L14 gene	R-HSA-6791327 			
Molecular Function	ATM phosphorylates TP53 at S15	R-HSA-5693609 	GO_0004674: protein serine/threonine kinase activity,		GO_0098772: molecular function regulator,
Molecular Function	TP53 binds the NDRG1 gene promoter	R-HSA-5633295 			
Molecular Function	TP53 and AP-1 bind the MSH2 promoter	R-HSA-6806412 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	TP53 binds the PLAGL1 gene	R-HSA-6803935 			
Molecular Function	TP53 in complex with EP300, PRMT1 and CARM1 binds the GADD45A promoter	R-HSA-3215152 		GO_0005515: protein binding,	
Molecular Function	TP53 binds the TP53INP1 gene	R-HSA-6799418 			GO_0098772: molecular function regulator,
Molecular Function	TP53 binds the PLK3 gene	R-HSA-6802165 			
Molecular Function	TP53 binds the AIFM2 gene promoter	R-HSA-6791302 			
Molecular Function	TP53 binds PPP1R13L	R-HSA-6799761 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	TP53 binds the PRDM1 gene	R-HSA-6804191 			
Molecular Function	p53 family members bind ASPP1 or ASPP2	R-HSA-6799777 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	TP53 binds the CASP10 gene	R-HSA-6798138 			
Molecular Function	TP53 binds the CASP6 gene	R-HSA-6798129 			
Molecular Function		R-HSA-3239019 	GO_0004674: protein serine/threonine kinase activity,		
Molecular Function	MDM2 forms homo- or heterodimers	R-HSA-6804741 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	Dissociation of the COP1-p53 complex	R-HSA-264435 			
Molecular Function	MAPKAPK5 phosphorylates TP53	R-HSA-3239014 	GO_0004674: protein serine/threonine kinase activity,		GO_0098772: molecular function regulator,
Molecular Function	MRN activates ATM	R-HSA-5693540 	GO_0004674: protein serine/threonine kinase activity,		GO_0098772: molecular function regulator,
Molecular Function	TP53 binds POU4F2	R-HSA-6804425 		GO_0005515: protein binding,	
Molecular Function	BRD7 binds TP53 and EP300	R-HSA-3222093 		GO_0005515: protein binding,	
Complex	p-S203,S221-TTC5:EP300:JMY	R-HSA-6804233 			
Complex	BRD7:p-S15,S20-TP53:EP300	R-HSA-3222096 			
Complex	Shortened telomere:MRN:KAT5:p-S1981,Ac-K3016-ATM	R-HSA-9006829 			
Complex	E2F4:(TFDP1,TFDP2):(RBL1,RBL2)	R-HSA-6798265 			
Complex	p-S166,S188-MDM2,MDM4	R-HSA-6804750 			
Complex	9-1-1 complex	R-HSA-176312 			
Complex	RNF34,RFFL	R-HSA-6804437 			GO_0000151: ubiquitin ligase complex,
Complex	KAT6A-ING5 complex	R-HSA-6805616 			
Complex	AURKB:NOC2L:p-S15,S20,S269,T284-TP53	R-HSA-6805128 			
Complex	p-S15,S20-TP53,TP63,TP73	R-HSA-6798076 			
Complex	TP53 Tetramer:STK11:p-T211-NUAK1	R-HSA-6805037 			GO_1902554: serine/threonine protein kinase complex,
Complex	phospho-p38 MAPK:p-T-182-MAPKAPK5	R-HSA-3239017 			GO_1902554: serine/threonine protein kinase complex,
Complex	AURKB:NOC2L:p-S15,S20-TP53	R-HSA-6805123 			GO_1902554: serine/threonine protein kinase complex,
Complex	p-S15,S20-TP53 Tetramer:p-S203,S221-TTC5:EP300:JMY	R-HSA-6804245 			
Complex	CCNA:p-T160-CDK2	R-HSA-187952 			GO_0000307: cyclin-dependent protein kinase holoenzyme complex,
Complex	ASPP1,ASPP2	R-HSA-6799786 			
Complex	CK2:FACT	R-HSA-6805062 			GO_1902554: serine/threonine protein kinase complex,
Complex	TP53 Tetramer:HIPK1	R-HSA-6799433 			
Complex	TP53 Tetramer:STK11:NUAK1	R-HSA-6805036 			GO_1902554: serine/threonine protein kinase complex,
Complex	(p-S15,S20-TP53,TP63):PERP Gene	R-HSA-6800835 			
Complex	p-S166,S188-MDM2 dimer, p-S166,S188-MDM2:MDM4	R-HSA-6804745 			GO_0000151: ubiquitin ligase complex,
Complex	ING2:EP300:p-S15,S20-TP53 Tetramer	R-HSA-3215194 			
Complex	AP-1:p-S15,S20-TP53 Tetramer:MSH2 Gene	R-HSA-6806565 			
Complex	TP53INP1:p-HIPK2:PIN1:p-S15,S20-TP53	R-HSA-3215242 			GO_1902554: serine/threonine protein kinase complex,
Complex	NOC2L:p-S15,S20-TP53	R-HSA-3222134 			
Complex	p-Y15,S159-CDK5:p25	R-HSA-6805271 			GO_1902554: serine/threonine protein kinase complex,
Complex	TIMELESS:TIPIN	R-HSA-5684985 			
Complex	ATR:ATRIP:p-RPA:3' overhanging ssDNA-DSBs:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:BRCA1-C complex:EXO1,DNA2:BLM,WRN:p-S990,Ac-K1249-BRIP1:RAD17:RFC:RAD9:HUS1:RAD1:RHNO1:TOPBP1	R-HSA-5685162 			
Complex	DNA DSBs:MRN:Ac-K3016-ATM dimer:KAT5	R-HSA-5682035 			GO_1902554: serine/threonine protein kinase complex,
Complex	Shortened telomere:MRN:Ac-K3016-ATM dimer:KAT5	R-HSA-6792710 			GO_1902554: serine/threonine protein kinase complex,
Complex	FACT complex	R-HSA-112417 			
Complex	ATR:ATRIP:RPA:3' overhanging ssDNA-DSBs:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:BRCA1-C complex:EXO1,DNA2:BLM,WRN:p-S990,Ac-K1249-BRIP1:RAD17:RFC:RAD9:HUS1:RAD1:RHNO1:TOPBP1	R-HSA-5685039 			GO_1902554: serine/threonine protein kinase complex,
Complex	p-S15,S20-TP53 Tetramer:CREBBP:BNIP3L Gene	R-HSA-6797994 			
Complex	TFIID	R-HSA-109626 			GO_1902554: serine/threonine protein kinase complex,
Complex	p-S15,S20-TP53 Tetramer:E2F4:(TFDP1,TFDP2):(RBL1,RBL2):CDC25C Gene	R-HSA-6798290 			
Complex	RAD17:RFC	R-HSA-176353 			
Complex	p-S15,S20-TP53:EP300:PRMT1:CARM1:GADD45A Gene	R-HSA-3215149 			
Complex	p-S15,S20-TP53,TP63	R-HSA-6800828 			
Complex	Ub	R-HSA-68524 			
